"TIME","GEO","NACE_R2","UNIT","AGE","Value"
"2008","DE11","B-E","THS","Y_GE15","651.6"
"2008","DE11","F","THS","Y_GE15","121.7"
"2008","DE11","G-I","THS","Y_GE15","385.6"
"2008","DE11","J","THS","Y_GE15","80.7"
"2008","DE11","K","THS","Y_GE15","78.2"
"2008","DE11","L","THS","Y_GE15","6.5"
"2008","DE11","M_N","THS","Y_GE15","162.6"
"2008","DE11","O-Q","THS","Y_GE15","397.1"
"2008","DE11","R-U","THS","Y_GE15","88.0"
"2008","DE11","NRP","THS","Y_GE15",":"
"2008","DE12","TOTAL","THS","Y_GE15","1,336.8"
"2008","DE12","A","THS","Y_GE15","11.7"
"2008","DE12","B-E","THS","Y_GE15","375.5"
"2008","DE12","F","THS","Y_GE15","74.3"
"2008","DE12","G-I","THS","Y_GE15","255.0"
"2008","DE12","J","THS","Y_GE15","59.0"
"2008","DE12","K","THS","Y_GE15","48.5"
"2008","DE12","L","THS","Y_GE15","7.0"
"2008","DE12","M_N","THS","Y_GE15","137.7"
"2008","DE12","O-Q","THS","Y_GE15","305.1"
"2008","DE12","R-U","THS","Y_GE15","63.1"
"2008","DE12","NRP","THS","Y_GE15",":"
"2008","DE13","TOTAL","THS","Y_GE15","1,108.5"
"2008","DE13","A","THS","Y_GE15","22.3"
"2008","DE13","B-E","THS","Y_GE15","328.3"
"2008","DE13","F","THS","Y_GE15","67.3"
"2008","DE13","G-I","THS","Y_GE15","229.7"
"2008","DE13","J","THS","Y_GE15","32.6"
"2008","DE13","K","THS","Y_GE15","28.2"
"2008","DE13","L","THS","Y_GE15",":"
"2008","DE13","M_N","THS","Y_GE15","82.6"
"2008","DE13","O-Q","THS","Y_GE15","263.6"
"2008","DE13","R-U","THS","Y_GE15","49.6"
"2008","DE13","NRP","THS","Y_GE15",":"
"2008","DE14","TOTAL","THS","Y_GE15","900.7"
"2008","DE14","A","THS","Y_GE15","22.5"
"2008","DE14","B-E","THS","Y_GE15","286.7"
"2008","DE14","F","THS","Y_GE15","54.1"
"2008","DE14","G-I","THS","Y_GE15","169.9"
"2008","DE14","J","THS","Y_GE15","25.8"
